score;method
0,44;Basic
0,33;Basic
0,71;Basic
0,65;Basic
0,66;Basic
0,53;Basic
0,85;Basic
0,36;Basic
0,59;Basic
0,68;Basic
0,50;Basic
0,52;Basic
0,93;Basic
0,80;Basic
0,84;Basic
0,67;Basic
0,67;Basic
0,60;Basic
0,60;Basic
0,67;Basic
0,72;Basic
0,63;Basic
0,87;Basic
0,82;Basic
0,70;Basic
0,58;Basic
0,87;Basic
0,56;Basic
0,73;Basic
0,75;Basic
0,60;Basic
0,77;Basic
0,90;Basic
0,78;Basic
0,90;Basic
0,65;Basic
0,53;Basic
0,90;Basic
0,65;Basic
0,86;Basic
0,35;Basic
0,70;Basic
0,80;Basic
0,36;Basic
0,87;Basic
0,80;Basic
0,77;Basic
0,48;Basic
0,41;Basic
0,67;Basic
0,48;Basic
0,33;Basic
0,40;Basic
0,70;Basic
0,78;Basic
0,72;Basic
0,74;Basic
0,85;Basic
0,93;Basic
0,75;Basic
0,87;Basic
0,85;Basic
0,73;Basic
0,80;Basic
0,80;Basic
0,58;Basic
0,96;Basic
0,61;Basic
0,76;Basic
0,33;Basic
0,73;Basic
0,60;Basic
0,53;Basic
0,85;Basic
0,42;Basic
0,67;Basic
0,90;Basic
0,45;Basic
0,64;Basic
0,68;Basic
0,69;Basic
0,49;Basic
0,50;Basic
0,52;Basic
0,87;Basic
0,85;Basic
0,46;Basic
0,72;Basic
0,70;Basic
0,55;Basic
0,60;Basic
0,52;Basic
0,81;Basic
0,61;Basic
0,82;Basic
0,67;Basic
0,13;Basic
0,60;Basic
0,71;Basic
0,62;Basic
0,77;Basic
0,65;Basic
0,59;Basic
0,58;Basic
0,81;Basic
0,59;Basic
0,67;Basic
0,87;Basic
0,38;Basic
0,63;Basic
0,84;Basic
0,33;Basic
0,49;Basic
0,58;Basic
0,77;Basic
0,54;Basic
0,56;Basic
0,67;Basic
0,59;Basic
0,58;Basic
0,36;Basic
1,00;Basic
0,59;Basic
0,30;Basic
0,54;Basic
0,52;Basic
0,73;Basic
0,51;Basic
0,75;Basic
0,00;Basic
0,93;Basic
0,75;Basic
0,45;Basic
0,61;Basic
0,50;Basic
0,75;Basic
0,45;Basic
0,45;Basic
0,78;Basic
0,57;Basic
0,81;Basic
0,70;Basic
0,59;Basic
0,52;Basic
0,85;Basic
0,88;Basic
0,44;Basic
0,62;Basic
0,79;Basic
0,79;Basic
0,60;Basic
0,77;Basic
0,70;Basic
0,50;Basic
0,45;Basic
0,61;Basic
0,73;Basic
0,57;Basic
0,73;Basic
0,65;Basic
0,60;Basic
0,43;Basic
0,50;Basic
0,67;Basic
0,60;Basic
0,60;Basic
0,80;Basic
0,60;Basic
0,45;Basic
0,60;Basic
0,27;Basic
0,57;Basic
0,35;Basic
0,46;Basic
0,67;Basic
0,90;Basic
0,72;Basic
0,58;Basic
0,20;Basic
0,67;Basic
0,65;Basic
0,71;Basic
0,48;Basic
0,32;Basic
0,87;Basic
0,50;Basic
0,81;Basic
0,87;Basic
0,78;Basic
0,67;Basic
0,76;Basic
0,87;Basic
0,33;Basic
0,25;Basic
0,75;Basic
0,52;Basic
0,72;Basic
0,72;Basic
0,52;Basic
0,79;Basic
0,67;Basic
0,29;Basic
0,50;Basic
0,53;Basic
0,79;Basic
0,67;Basic
0,57;Basic
0,71;Basic
0,60;Basic
0,68;Basic
0,53;Basic
0,55;Basic
0,65;Basic
0,67;Basic
0,57;Basic
0,89;Basic
0,93;Basic
0,53;Basic
0,63;Basic
0,78;Basic
0,60;Basic
0,69;Basic
0,78;Basic
0,60;Basic
0,51;Basic
0,22;Basic
0,62;Basic
0,67;Basic
0,92;Basic
0,90;Basic
0,81;Basic
0,60;Basic
0,70;Basic
0,65;Basic
0,33;Basic
0,90;Basic
0,62;Basic
0,68;Basic
0,55;Basic
0,67;Basic
0,78;Basic
0,80;Basic
0,78;Basic
0,38;Basic
0,80;Basic
0,68;Basic
0,82;Basic
0,20;Basic
0,77;Basic
0,60;Basic
0,57;Basic
0,90;Basic
0,60;Basic
0,78;Basic
0,78;Basic
0,72;Basic
0,59;Basic
0,44;Basic
0,90;Basic
0,70;Basic
0,84;Basic
0,75;Basic
0,78;Basic
0,87;Basic
0,28;Basic
0,50;Basic
0,40;Basic
0,61;Basic
0,33;Basic
0,65;Basic
0,56;Basic
0,70;Basic
0,60;Basic
0,82;Basic
0,63;Basic
0,80;Basic
0,68;Basic
0,77;Basic
0,67;Basic
0,44;Basic
0,81;Basic
0,54;Basic
0,40;Basic
0,77;Basic
0,56;Basic
0,20;Basic
0,67;Basic
0,63;Basic
0,88;Basic
0,87;Basic
0,67;Basic
0,55;Basic
0,50;Basic
0,73;Basic
0,81;Basic
0,60;Basic
0,71;Basic
0,70;Basic
0,65;Basic
0,60;Basic
0,78;Basic
0,65;Basic
0,40;Basic
0,82;Basic
0,50;Basic
0,60;Basic
0,60;Basic
0,75;Basic
0,63;Basic
0,87;Basic
0,76;Basic
0,69;Basic
0,52;Basic
0,69;Basic
0,81;Basic
0,90;Basic
0,60;Basic
0,53;Basic
0,60;Basic
0,87;Basic
0,68;Basic
0,65;Basic
0,67;Basic
0,75;UMLS-SemTypes
0,78;UMLS-SemTypes
0,53;UMLS-SemTypes
0,88;UMLS-SemTypes
0,54;UMLS-SemTypes
0,30;UMLS-SemTypes
0,75;UMLS-SemTypes
0,19;UMLS-SemTypes
0,25;UMLS-SemTypes
0,87;UMLS-SemTypes
0,62;UMLS-SemTypes
1,00;UMLS-SemTypes
0,90;UMLS-SemTypes
0,84;UMLS-SemTypes
0,92;UMLS-SemTypes
0,25;UMLS-SemTypes
0,67;UMLS-SemTypes
0,46;UMLS-SemTypes
0,79;UMLS-SemTypes
0,85;UMLS-SemTypes
0,00;UMLS-SemTypes
0,67;UMLS-SemTypes
0,25;UMLS-SemTypes
0,10;UMLS-SemTypes
0,57;UMLS-SemTypes
0,87;UMLS-SemTypes
0,85;UMLS-SemTypes
0,81;UMLS-SemTypes
0,67;UMLS-SemTypes
0,28;UMLS-SemTypes
0,47;UMLS-SemTypes
0,73;UMLS-SemTypes
0,45;UMLS-SemTypes
0,70;UMLS-SemTypes
0,82;UMLS-SemTypes
0,20;UMLS-SemTypes
0,62;UMLS-SemTypes
0,80;UMLS-SemTypes
0,62;UMLS-SemTypes
0,75;UMLS-SemTypes
0,40;UMLS-SemTypes
0,75;UMLS-SemTypes
0,35;UMLS-SemTypes
0,45;UMLS-SemTypes
0,87;UMLS-SemTypes
0,82;UMLS-SemTypes
0,38;UMLS-SemTypes
0,34;UMLS-SemTypes
0,50;UMLS-SemTypes
0,91;UMLS-SemTypes
1,00;UMLS-SemTypes
0,55;UMLS-SemTypes
0,72;UMLS-SemTypes
0,71;UMLS-SemTypes
0,80;UMLS-SemTypes
0,67;UMLS-SemTypes
0,39;UMLS-SemTypes
0,77;UMLS-SemTypes
0,70;UMLS-SemTypes
0,85;UMLS-SemTypes
0,79;UMLS-SemTypes
0,74;UMLS-SemTypes
0,80;UMLS-SemTypes
0,67;UMLS-SemTypes
0,56;UMLS-SemTypes
0,87;UMLS-SemTypes
0,45;UMLS-SemTypes
0,94;UMLS-SemTypes
0,53;UMLS-SemTypes
0,68;UMLS-SemTypes
0,62;UMLS-SemTypes
0,70;UMLS-SemTypes
0,54;UMLS-SemTypes
0,87;UMLS-SemTypes
0,64;UMLS-SemTypes
0,60;UMLS-SemTypes
0,56;UMLS-SemTypes
0,67;UMLS-SemTypes
0,74;UMLS-SemTypes
0,87;UMLS-SemTypes
0,67;UMLS-SemTypes
0,45;UMLS-SemTypes
0,56;UMLS-SemTypes
1,00;UMLS-SemTypes
0,41;UMLS-SemTypes
0,94;UMLS-SemTypes
0,16;UMLS-SemTypes
0,35;UMLS-SemTypes
0,77;UMLS-SemTypes
0,44;UMLS-SemTypes
0,75;UMLS-SemTypes
0,60;UMLS-SemTypes
0,57;UMLS-SemTypes
0,60;UMLS-SemTypes
0,78;UMLS-SemTypes
0,28;UMLS-SemTypes
0,50;UMLS-SemTypes
0,76;UMLS-SemTypes
0,33;UMLS-SemTypes
0,64;UMLS-SemTypes
0,54;UMLS-SemTypes
0,45;UMLS-SemTypes
0,30;UMLS-SemTypes
0,30;UMLS-SemTypes
0,88;UMLS-SemTypes
0,41;UMLS-SemTypes
0,60;UMLS-SemTypes
0,67;UMLS-SemTypes
0,58;UMLS-SemTypes
0,61;UMLS-SemTypes
0,40;UMLS-SemTypes
0,80;UMLS-SemTypes
0,65;UMLS-SemTypes
0,64;UMLS-SemTypes
0,87;UMLS-SemTypes
0,35;UMLS-SemTypes
0,72;UMLS-SemTypes
0,36;UMLS-SemTypes
0,67;UMLS-SemTypes
0,57;UMLS-SemTypes
0,50;UMLS-SemTypes
0,80;UMLS-SemTypes
0,80;UMLS-SemTypes
1,00;UMLS-SemTypes
0,67;UMLS-SemTypes
0,95;UMLS-SemTypes
0,25;UMLS-SemTypes
0,90;UMLS-SemTypes
0,72;UMLS-SemTypes
0,20;UMLS-SemTypes
0,65;UMLS-SemTypes
0,22;UMLS-SemTypes
0,89;UMLS-SemTypes
0,61;UMLS-SemTypes
0,20;UMLS-SemTypes
0,45;UMLS-SemTypes
0,50;UMLS-SemTypes
0,72;UMLS-SemTypes
0,45;UMLS-SemTypes
0,00;UMLS-SemTypes
0,25;UMLS-SemTypes
0,67;UMLS-SemTypes
0,72;UMLS-SemTypes
0,36;UMLS-SemTypes
0,87;UMLS-SemTypes
0,58;UMLS-SemTypes
0,45;UMLS-SemTypes
0,60;UMLS-SemTypes
0,67;UMLS-SemTypes
0,45;UMLS-SemTypes
0,82;UMLS-SemTypes
0,93;UMLS-SemTypes
0,90;UMLS-SemTypes
0,75;UMLS-SemTypes
0,36;UMLS-SemTypes
0,67;UMLS-SemTypes
0,87;UMLS-SemTypes
0,45;UMLS-SemTypes
0,67;UMLS-SemTypes
0,70;UMLS-SemTypes
0,60;UMLS-SemTypes
0,76;UMLS-SemTypes
0,60;UMLS-SemTypes
0,45;UMLS-SemTypes
0,20;UMLS-SemTypes
0,56;UMLS-SemTypes
0,38;UMLS-SemTypes
0,59;UMLS-SemTypes
0,93;UMLS-SemTypes
0,36;UMLS-SemTypes
0,50;UMLS-SemTypes
0,67;UMLS-SemTypes
0,85;UMLS-SemTypes
0,33;UMLS-SemTypes
0,78;UMLS-SemTypes
0,50;UMLS-SemTypes
0,92;UMLS-SemTypes
0,76;UMLS-SemTypes
0,60;UMLS-SemTypes
0,54;UMLS-SemTypes
0,54;UMLS-SemTypes
0,67;UMLS-SemTypes
0,44;UMLS-SemTypes
0,25;UMLS-SemTypes
0,75;UMLS-SemTypes
0,65;UMLS-SemTypes
0,71;UMLS-SemTypes
0,58;UMLS-SemTypes
0,70;UMLS-SemTypes
0,63;UMLS-SemTypes
0,64;UMLS-SemTypes
0,75;UMLS-SemTypes
0,67;UMLS-SemTypes
1,00;UMLS-SemTypes
1,00;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,80;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,58;UMLS-SemTypes
0,63;UMLS-SemTypes
1,00;UMLS-SemTypes
0,60;UMLS-SemTypes
0,62;UMLS-SemTypes
0,75;UMLS-SemTypes
1,00;UMLS-SemTypes
0,64;UMLS-SemTypes
0,59;UMLS-SemTypes
0,75;UMLS-SemTypes
0,67;UMLS-SemTypes
0,82;UMLS-SemTypes
0,75;UMLS-SemTypes
0,78;UMLS-SemTypes
0,50;UMLS-SemTypes
0,65;UMLS-SemTypes
0,78;UMLS-SemTypes
0,67;UMLS-SemTypes
0,65;UMLS-SemTypes
0,71;UMLS-SemTypes
0,35;UMLS-SemTypes
0,74;UMLS-SemTypes
0,67;UMLS-SemTypes
0,41;UMLS-SemTypes
1,00;UMLS-SemTypes
0,87;UMLS-SemTypes
0,67;UMLS-SemTypes
0,58;UMLS-SemTypes
0,41;UMLS-SemTypes
0,58;UMLS-SemTypes
0,63;UMLS-SemTypes
0,33;UMLS-SemTypes
0,40;UMLS-SemTypes
0,70;UMLS-SemTypes
0,88;UMLS-SemTypes
0,74;UMLS-SemTypes
0,82;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,75;UMLS-SemTypes
0,53;UMLS-SemTypes
0,67;UMLS-SemTypes
0,70;UMLS-SemTypes
0,58;UMLS-SemTypes
0,70;UMLS-SemTypes
0,67;UMLS-SemTypes
1,00;UMLS-SemTypes
0,94;UMLS-SemTypes
0,76;UMLS-SemTypes
0,54;UMLS-SemTypes
0,53;UMLS-SemTypes
0,42;UMLS-SemTypes
0,51;UMLS-SemTypes
0,82;UMLS-SemTypes
0,42;UMLS-SemTypes
0,53;UMLS-SemTypes
0,90;UMLS-SemTypes
0,45;UMLS-SemTypes
0,64;UMLS-SemTypes
0,82;UMLS-SemTypes
0,36;UMLS-SemTypes
0,53;UMLS-SemTypes
0,50;UMLS-SemTypes
0,49;UMLS-SemTypes
0,58;UMLS-SemTypes
0,69;UMLS-SemTypes
0,50;UMLS-SemTypes
0,72;UMLS-SemTypes
0,70;UMLS-SemTypes
0,72;UMLS-SemTypes
0,60;UMLS-SemTypes
0,58;UMLS-SemTypes
0,58;UMLS-SemTypes
0,56;UMLS-SemTypes
0,92;UMLS-SemTypes
0,72;UMLS-SemTypes
0,13;UMLS-SemTypes
0,53;UMLS-SemTypes
0,57;UMLS-SemTypes
0,57;UMLS-SemTypes
0,82;UMLS-SemTypes
0,65;UMLS-SemTypes
0,64;UMLS-SemTypes
0,70;UMLS-SemTypes
0,83;UMLS-SemTypes
0,50;UMLS-SemTypes
0,67;UMLS-SemTypes
0,67;UMLS-SemTypes
0,75;UMLS-SemTypes
0,82;UMLS-SemTypes
0,67;UMLS-SemTypes
0,33;UMLS-SemTypes
0,60;UMLS-SemTypes
0,45;UMLS-SemTypes
0,72;UMLS-SemTypes
0,59;UMLS-SemTypes
0,56;UMLS-SemTypes
0,67;UMLS-SemTypes
0,85;UMLS-SemTypes
0,58;UMLS-SemTypes
0,52;UMLS-SemTypes
0,80;UMLS-SemTypes
0,64;UMLS-SemTypes
0,40;UMLS-SemTypes
0,54;UMLS-SemTypes
0,52;UMLS-SemTypes
0,40;UMLS-SemTypes
0,55;UMLS-SemTypes
0,75;UMLS-SemTypes
0,00;UMLS-SemTypes
0,82;UMLS-SemTypes
0,90;UMLS-SemTypes
0,45;UMLS-SemTypes
0,67;UMLS-SemTypes
0,50;UMLS-SemTypes
0,74;UMLS-SemTypes
0,92;UMLS-SemTypes
0,82;UMLS-SemTypes
0,58;UMLS-SemTypes
0,86;UMLS-SemTypes
0,75;UMLS-SemTypes
0,77;UMLS-SemTypes
0,57;UMLS-SemTypes
0,72;UMLS-SemTypes
0,85;UMLS-SemTypes
0,82;UMLS-SemTypes
0,51;UMLS-SemTypes
0,92;UMLS-SemTypes
0,93;UMLS-SemTypes
0,79;UMLS-SemTypes
0,60;UMLS-SemTypes
0,58;UMLS-SemTypes
0,70;UMLS-SemTypes
0,58;UMLS-SemTypes
0,45;UMLS-SemTypes
0,61;UMLS-SemTypes
0,87;UMLS-SemTypes
0,75;UMLS-SemTypes
0,69;UMLS-SemTypes
1,00;UMLS-SemTypes
0,60;UMLS-SemTypes
0,49;UMLS-SemTypes
0,67;UMLS-SemTypes
1,00;UMLS-SemTypes
0,67;UMLS-SemTypes
0,80;UMLS-SemTypes
0,85;UMLS-SemTypes
0,60;UMLS-SemTypes
0,74;UMLS-SemTypes
0,60;UMLS-SemTypes
0,87;UMLS-SemTypes
0,37;UMLS-SemTypes
0,82;UMLS-SemTypes
0,66;UMLS-SemTypes
0,85;UMLS-SemTypes
1,00;UMLS-SemTypes
0,53;UMLS-SemTypes
0,82;UMLS-SemTypes
0,20;UMLS-SemTypes
0,67;UMLS-SemTypes
1,00;UMLS-SemTypes
0,72;UMLS-SemTypes
0,83;UMLS-SemTypes
0,16;UMLS-SemTypes
0,87;UMLS-SemTypes
0,50;UMLS-SemTypes
0,88;UMLS-SemTypes
0,67;UMLS-SemTypes
0,84;UMLS-SemTypes
0,70;UMLS-SemTypes
0,80;UMLS-SemTypes
0,43;UMLS-SemTypes
0,61;UMLS-SemTypes
0,61;UMLS-SemTypes
1,00;UMLS-SemTypes
0,60;UMLS-SemTypes
0,45;UMLS-SemTypes
0,75;UMLS-SemTypes
0,51;UMLS-SemTypes
0,63;UMLS-SemTypes
0,67;UMLS-SemTypes
0,90;UMLS-SemTypes
0,50;UMLS-SemTypes
0,67;UMLS-SemTypes
0,87;UMLS-SemTypes
1,00;UMLS-SemTypes
0,57;UMLS-SemTypes
0,88;UMLS-SemTypes
0,68;UMLS-SemTypes
0,47;UMLS-SemTypes
1,00;UMLS-SemTypes
0,59;UMLS-SemTypes
0,66;UMLS-SemTypes
0,67;UMLS-SemTypes
0,53;UMLS-SemTypes
0,67;UMLS-SemTypes
1,00;UMLS-SemTypes
0,54;UMLS-SemTypes
0,53;UMLS-SemTypes
0,78;UMLS-SemTypes
0,60;UMLS-SemTypes
0,85;UMLS-SemTypes
0,88;UMLS-SemTypes
0,67;UMLS-SemTypes
0,60;UMLS-SemTypes
0,56;UMLS-SemTypes
0,65;UMLS-SemTypes
0,67;UMLS-SemTypes
0,89;UMLS-SemTypes
1,00;UMLS-SemTypes
0,81;UMLS-SemTypes
0,68;UMLS-SemTypes
0,83;UMLS-SemTypes
0,56;UMLS-SemTypes
0,58;UMLS-SemTypes
0,90;UMLS-SemTypes
0,85;UMLS-SemTypes
0,66;UMLS-SemTypes
0,60;UMLS-SemTypes
0,70;UMLS-SemTypes
0,78;UMLS-SemTypes
0,76;UMLS-SemTypes
0,60;UMLS-SemTypes
0,38;UMLS-SemTypes
0,80;UMLS-SemTypes
0,68;UMLS-SemTypes
0,82;UMLS-SemTypes
0,20;UMLS-SemTypes
0,77;UMLS-SemTypes
0,43;UMLS-SemTypes
0,57;UMLS-SemTypes
1,00;UMLS-SemTypes
0,61;UMLS-SemTypes
0,88;UMLS-SemTypes
0,67;UMLS-SemTypes
0,79;UMLS-SemTypes
0,77;UMLS-SemTypes
0,77;UMLS-SemTypes
0,90;UMLS-SemTypes
0,20;UMLS-SemTypes
0,90;UMLS-SemTypes
0,75;UMLS-SemTypes
0,72;UMLS-SemTypes
0,90;UMLS-SemTypes
0,33;UMLS-SemTypes
0,50;UMLS-SemTypes
0,45;UMLS-SemTypes
0,67;UMLS-SemTypes
0,52;UMLS-SemTypes
0,90;UMLS-SemTypes
0,51;UMLS-SemTypes
0,75;UMLS-SemTypes
0,58;UMLS-SemTypes
0,83;UMLS-SemTypes
0,58;UMLS-SemTypes
0,80;UMLS-SemTypes
0,73;UMLS-SemTypes
0,45;UMLS-SemTypes
0,40;UMLS-SemTypes
0,88;UMLS-SemTypes
0,77;UMLS-SemTypes
0,56;UMLS-SemTypes
0,33;UMLS-SemTypes
0,79;UMLS-SemTypes
0,38;UMLS-SemTypes
0,35;UMLS-SemTypes
0,67;UMLS-SemTypes
0,79;UMLS-SemTypes
0,75;UMLS-SemTypes
0,87;UMLS-SemTypes
0,67;UMLS-SemTypes
0,65;UMLS-SemTypes
0,62;UMLS-SemTypes
0,83;UMLS-SemTypes
0,49;UMLS-SemTypes
0,54;UMLS-SemTypes
0,68;UMLS-SemTypes
0,50;UMLS-SemTypes
0,50;UMLS-SemTypes
0,65;UMLS-SemTypes
0,72;UMLS-SemTypes
0,45;UMLS-SemTypes
0,40;UMLS-SemTypes
0,57;UMLS-SemTypes
0,50;UMLS-SemTypes
0,70;UMLS-SemTypes
0,69;UMLS-SemTypes
0,75;UMLS-SemTypes
0,58;UMLS-SemTypes
0,67;UMLS-SemTypes
0,92;UMLS-SemTypes
0,68;UMLS-SemTypes
0,70;UMLS-SemTypes
0,50;UMLS-SemTypes
0,81;UMLS-SemTypes
0,90;UMLS-SemTypes
0,67;UMLS-SemTypes
0,25;UMLS-SemTypes
0,44;UMLS-SemTypes
0,67;UMLS-SemTypes
0,58;UMLS-SemTypes
0,79;UMLS-SemTypes
0,89;UMLS-SemTypes
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,53;UMLS-CUIs
0,63;UMLS-CUIs
0,65;UMLS-CUIs
0,20;UMLS-CUIs
0,75;UMLS-CUIs
0,38;UMLS-CUIs
0,25;UMLS-CUIs
0,79;UMLS-CUIs
0,68;UMLS-CUIs
0,77;UMLS-CUIs
0,61;UMLS-CUIs
0,46;UMLS-CUIs
0,54;UMLS-CUIs
0,25;UMLS-CUIs
0,67;UMLS-CUIs
0,46;UMLS-CUIs
0,70;UMLS-CUIs
0,85;UMLS-CUIs
0,00;UMLS-CUIs
0,67;UMLS-CUIs
0,60;UMLS-CUIs
0,40;UMLS-CUIs
0,62;UMLS-CUIs
0,53;UMLS-CUIs
0,87;UMLS-CUIs
0,60;UMLS-CUIs
0,60;UMLS-CUIs
0,28;UMLS-CUIs
0,69;UMLS-CUIs
0,66;UMLS-CUIs
0,45;UMLS-CUIs
0,47;UMLS-CUIs
0,61;UMLS-CUIs
0,20;UMLS-CUIs
0,45;UMLS-CUIs
0,71;UMLS-CUIs
0,62;UMLS-CUIs
0,65;UMLS-CUIs
0,55;UMLS-CUIs
0,85;UMLS-CUIs
0,25;UMLS-CUIs
0,40;UMLS-CUIs
0,87;UMLS-CUIs
0,72;UMLS-CUIs
0,33;UMLS-CUIs
0,32;UMLS-CUIs
0,90;UMLS-CUIs
0,83;UMLS-CUIs
0,68;UMLS-CUIs
0,51;UMLS-CUIs
0,77;UMLS-CUIs
0,70;UMLS-CUIs
0,80;UMLS-CUIs
0,67;UMLS-CUIs
0,20;UMLS-CUIs
0,77;UMLS-CUIs
0,44;UMLS-CUIs
0,80;UMLS-CUIs
0,68;UMLS-CUIs
0,65;UMLS-CUIs
0,73;UMLS-CUIs
0,58;UMLS-CUIs
0,19;UMLS-CUIs
0,77;UMLS-CUIs
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,72;UMLS-CUIs
0,68;UMLS-CUIs
0,66;UMLS-CUIs
0,41;UMLS-CUIs
0,31;UMLS-CUIs
0,53;UMLS-CUIs
0,54;UMLS-CUIs
0,79;UMLS-CUIs
0,56;UMLS-CUIs
0,55;UMLS-CUIs
0,79;UMLS-CUIs
0,76;UMLS-CUIs
0,60;UMLS-CUIs
0,44;UMLS-CUIs
0,74;UMLS-CUIs
0,83;UMLS-CUIs
0,52;UMLS-CUIs
0,94;UMLS-CUIs
0,37;UMLS-CUIs
0,72;UMLS-CUIs
0,51;UMLS-CUIs
0,40;UMLS-CUIs
0,75;UMLS-CUIs
0,47;UMLS-CUIs
0,52;UMLS-CUIs
0,64;UMLS-CUIs
0,44;UMLS-CUIs
0,38;UMLS-CUIs
0,72;UMLS-CUIs
0,78;UMLS-CUIs
0,67;UMLS-CUIs
0,65;UMLS-CUIs
0,65;UMLS-CUIs
0,70;UMLS-CUIs
0,30;UMLS-CUIs
0,30;UMLS-CUIs
0,88;UMLS-CUIs
0,60;UMLS-CUIs
0,77;UMLS-CUIs
0,85;UMLS-CUIs
0,77;UMLS-CUIs
0,61;UMLS-CUIs
0,37;UMLS-CUIs
0,00;UMLS-CUIs
0,90;UMLS-CUIs
0,63;UMLS-CUIs
0,87;UMLS-CUIs
0,28;UMLS-CUIs
0,74;UMLS-CUIs
0,32;UMLS-CUIs
0,89;UMLS-CUIs
0,71;UMLS-CUIs
0,50;UMLS-CUIs
0,68;UMLS-CUIs
0,70;UMLS-CUIs
0,71;UMLS-CUIs
0,58;UMLS-CUIs
0,66;UMLS-CUIs
0,69;UMLS-CUIs
0,84;UMLS-CUIs
0,62;UMLS-CUIs
0,32;UMLS-CUIs
0,52;UMLS-CUIs
0,22;UMLS-CUIs
0,82;UMLS-CUIs
0,61;UMLS-CUIs
0,73;UMLS-CUIs
0,72;UMLS-CUIs
0,67;UMLS-CUIs
0,69;UMLS-CUIs
0,78;UMLS-CUIs
0,00;UMLS-CUIs
0,78;UMLS-CUIs
0,58;UMLS-CUIs
0,73;UMLS-CUIs
0,28;UMLS-CUIs
0,80;UMLS-CUIs
0,35;UMLS-CUIs
0,45;UMLS-CUIs
0,53;UMLS-CUIs
0,53;UMLS-CUIs
0,35;UMLS-CUIs
0,70;UMLS-CUIs
0,77;UMLS-CUIs
0,90;UMLS-CUIs
0,66;UMLS-CUIs
0,52;UMLS-CUIs
0,67;UMLS-CUIs
0,73;UMLS-CUIs
0,40;UMLS-CUIs
0,78;UMLS-CUIs
0,77;UMLS-CUIs
0,42;UMLS-CUIs
0,54;UMLS-CUIs
0,69;UMLS-CUIs
0,57;UMLS-CUIs
0,70;UMLS-CUIs
0,36;UMLS-CUIs
0,38;UMLS-CUIs
0,85;UMLS-CUIs
0,93;UMLS-CUIs
